;title;book_url;author;author_url;rating;votes
39;The Empty Grave (Lockwood & Co., #5);https://www.goodreads.com/book/show/32324555-the-empty-grave;Jonathan Stroud;https://www.goodreads.com/author/show/33467.Jonathan_Stroud;4.62;26540
40;Saga, Volume 9;https://www.goodreads.com/book/show/29237221-saga-volume-9;Brian K. Vaughan;https://www.goodreads.com/author/show/24514.Brian_K_Vaughan;4.56;33163
41;呪術廻戦 9 [Jujutsu Kaisen 9];https://www.goodreads.com/book/show/50527779-9-jujutsu-kaisen-9;Gege Akutami;https://www.goodreads.com/author/show/17890308.Gege_Akutami;4.65;18732
42;Some Kind of Perfect (Calloway Sisters, #5);https://www.goodreads.com/book/show/26148181-some-kind-of-perfect;Krista Ritchie;https://www.goodreads.com/author/show/7056935.Krista_Ritchie;4.62;28503
43;Wintersteel (Cradle, #8);https://www.goodreads.com/book/show/55423083-wintersteel;Will Wight;https://www.goodreads.com/author/show/7125278.Will_Wight;4.69;28383
44;பொன்னியின் செல்வன், முழுத்தொகுப்பு;https://www.goodreads.com/book/show/1108124._;Kalki;https://www.goodreads.com/author/show/63244.Kalki;4.7;10603
45;An Echo in the Darkness (Mark of the Lion, #2);https://www.goodreads.com/book/show/46601.An_Echo_in_the_Darkness;Francine Rivers;https://www.goodreads.com/author/show/6492.Francine_Rivers;4.63;59400
46;約束のネバーランド 4 [Yakusoku no Neverland 4];https://www.goodreads.com/book/show/35569981-4-yakusoku-no-neverland-4;Kaiu Shirai;https://www.goodreads.com/author/show/15560538.Kaiu_Shirai;4.61;15814
47;The Last Hope (Warriors: Omen of the Stars, #6);https://www.goodreads.com/book/show/7124921-the-last-hope;Erin Hunter;https://www.goodreads.com/author/show/27498.Erin_Hunter;4.56;14601
48;The Dying of the Light (Skulduggery Pleasant, #9);https://www.goodreads.com/book/show/18131799-the-dying-of-the-light;Derek Landy;https://www.goodreads.com/author/show/165168.Derek_Landy;4.59;12483
49;Sin & Surrender (Demigods of San Francisco, #6);https://www.goodreads.com/book/show/53285819-sin-surrender;K.F. Breene;https://www.goodreads.com/author/show/7010202.K_F_Breene;4.67;15777
50;Iron Prince (Warformed: Stormweaver, #1);https://www.goodreads.com/book/show/55559974-iron-prince;Bryce O'Connor;https://www.goodreads.com/author/show/14685175.Bryce_O_Connor;4.58;16513
51;A Heart That Works;https://www.goodreads.com/book/show/61295403-a-heart-that-works;Rob Delaney;https://www.goodreads.com/author/show/6586630.Rob_Delaney;4.62;30914
52;Tiamat's Wrath (The Expanse, #8);https://www.goodreads.com/book/show/28335698-tiamat-s-wrath;James S.A. Corey;https://www.goodreads.com/author/show/4192148.James_S_A_Corey;4.57;73514
53;Darkstalker (Wings of Fire: Legends, #1);https://www.goodreads.com/book/show/28190254-darkstalker;Tui T. Sutherland;https://www.goodreads.com/author/show/374504.Tui_T_Sutherland;4.6;18912
54;War Lord (The Saxon Stories, #13);https://www.goodreads.com/book/show/52033836-war-lord;Bernard Cornwell;https://www.goodreads.com/author/show/12542.Bernard_Cornwell;4.6;14447
55;僕のヒーローアカデミア 5 [Boku No Hero Academia 5];https://www.goodreads.com/book/show/25696035-5-boku-no-hero-academia-5;Kohei Horikoshi;https://www.goodreads.com/author/show/6567626.Kohei_Horikoshi;4.6;20481
56;Reverse (The Bittersweet Symphony Duet, #2);https://www.goodreads.com/book/show/61486681-reverse;Kate  Stewart;https://www.goodreads.com/author/show/7390938.Kate_Stewart;4.65;19156
57;Assata: An Autobiography;https://www.goodreads.com/book/show/100322.Assata;Assata Shakur;https://www.goodreads.com/author/show/57925.Assata_Shakur;4.59;28810
