position,name,genre,url,description,ratingValue,ratingCount,bestRating,worstRating
90,Civil War,"Action, Adventure, Thriller",https://www.imdb.com/title/tt17279496/,"In a dystopian future, four journalists travel across the United States during a nation-wide conflict. While trying to survive, they aim to reach the White House to interview the president before he is overthrown.",7.0,206480.0,10.0,1.0
91,The Shawshank Redemption,Drama,https://www.imdb.com/title/tt0111161/,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",9.3,2982772.0,10.0,1.0
92,Violent Night,"Action, Comedy, Thriller",https://www.imdb.com/title/tt12003946/,"When an elite team of mercenaries breaks into a family compound on Christmas Eve, a disgruntled Santa Claus must take them out to save both the hostages and his Holiday.",6.7,110460.0,10.0,1.0
93,Krampus,"Comedy, Fantasy, Horror",https://www.imdb.com/title/tt3850590/,A boy who has a bad Christmas accidentally summons a festive demon to his family home.,6.2,88971.0,10.0,1.0
94,Le Comte de Monte-Cristo,"Action, Adventure, Drama",https://www.imdb.com/title/tt26446278/,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the Count of Monte Cristo to exact revenge on the men who betrayed him.",7.7,20613.0,10.0,1.0
95,Fly Me to the Moon,"Comedy, Romance",https://www.imdb.com/title/tt1896747/,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis&apos;s already difficult task. When the White House deems the mission too important to fail, the countdown truly begins.",6.6,37384.0,10.0,1.0
96,Miracle on 34th Street,"Drama, Family, Fantasy",https://www.imdb.com/title/tt0110527/,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,6.6,46656.0,10.0,1.0
97,The Lion King,"Animation, Adventure, Drama",https://www.imdb.com/title/tt6105098/,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",6.8,275730.0,10.0,1.0
98,Eden,Thriller,https://www.imdb.com/title/tt23149780/,Follows a group of people fueled by a profound desire for change; in order to turn their back to society they leave everything behind and set their futures on the harsh landscape of the Galapagos.,6.0,688.0,10.0,1.0
99,The Last Showgirl,Drama,https://www.imdb.com/title/tt31193791/,A seasoned showgirl must plan for her future when her show abruptly closes after a 30-year run.,6.1,1115.0,10.0,1.0
100,Furiosa: A Mad Max Saga,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt12037194/,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,7.5,247706.0,10.0,1.0
